datetime,code,open,high,low,close,volume,position,price,tradetime,type
2020-01-17 10:09:00,RB2005,3592.0002441406,3594.0002441406,3592.0002441406,3593.0002441406,1787.0,1370255.0,0.0,2020-01-17 10:09,1min
2020-01-17 10:10:00,RB2005,3593.0002441406,3593.0002441406,3591.0002441406,3591.0002441406,1745.0,1370398.0,0.0,2020-01-17 10:10,1min
2020-01-17 10:11:00,RB2005,3591.0002441406,3593.0002441406,3591.0002441406,3592.0002441406,1953.0,1370891.0,0.0,2020-01-17 10:11,1min
2020-01-17 10:12:00,RB2005,3592.0002441406,3593.0002441406,3589.0002441406,3589.0002441406,1554.0,1371194.0,0.0,2020-01-17 10:12,1min
2020-01-17 10:13:00,RB2005,3589.0002441406,3592.0002441406,3589.0002441406,3592.0002441406,1457.0,1371761.0,0.0,2020-01-17 10:13,1min
2020-01-17 10:14:00,RB2005,3592.0002441406,3593.0002441406,3590.0002441406,3590.0002441406,1056.0,1371826.0,0.0,2020-01-17 10:14,1min
2020-01-17 10:15:00,RB2005,3591.0002441406,3593.0002441406,3590.0002441406,3592.0002441406,2485.0,1372313.0,0.0,2020-01-17 10:15,1min
2020-01-17 10:31:00,RB2005,3593.0002441406,3594.0002441406,3591.0002441406,3591.0002441406,3508.0,1372844.0,0.0,2020-01-17 10:31,1min
2020-01-17 10:32:00,RB2005,3591.0002441406,3593.0002441406,3591.0002441406,3592.0002441406,1124.0,1373180.0,0.0,2020-01-17 10:32,1min
2020-01-17 10:33:00,RB2005,3592.0002441406,3593.0002441406,3592.0002441406,3593.0002441406,965.0,1373566.0,0.0,2020-01-17 10:33,1min
2020-01-17 10:34:00,RB2005,3592.0002441406,3593.0002441406,3591.0002441406,3593.0002441406,2047.0,1374320.0,0.0,2020-01-17 10:34,1min
2020-01-17 10:35:00,RB2005,3593.0002441406,3593.0002441406,3591.0002441406,3592.0002441406,680.0,1374717.0,0.0,2020-01-17 10:35,1min
2020-01-17 10:36:00,RB2005,3591.0002441406,3593.0002441406,3591.0002441406,3592.0002441406,2314.0,1375267.0,0.0,2020-01-17 10:36,1min
2020-01-17 10:37:00,RB2005,3593.0002441406,3594.0002441406,3592.0002441406,3594.0002441406,1570.0,1375455.0,0.0,2020-01-17 10:37,1min
2020-01-17 10:38:00,RB2005,3594.0002441406,3596.0002441406,3593.0002441406,3595.0002441406,7239.0,1376949.0,0.0,2020-01-17 10:38,1min
2020-01-17 10:39:00,RB2005,3594.0002441406,3595.0002441406,3593.0002441406,3594.0002441406,2589.0,1377349.0,0.0,2020-01-17 10:39,1min
2020-01-17 10:40:00,RB2005,3594.0002441406,3594.0002441406,3592.0002441406,3592.0002441406,1405.0,1377728.0,0.0,2020-01-17 10:40,1min
2020-01-17 10:41:00,RB2005,3592.0002441406,3593.0002441406,3592.0002441406,3592.0002441406,1018.0,1378281.0,0.0,2020-01-17 10:41,1min
2020-01-17 10:42:00,RB2005,3593.0002441406,3593.0002441406,3591.0002441406,3592.0002441406,1344.0,1378663.0,0.0,2020-01-17 10:42,1min
2020-01-17 10:43:00,RB2005,3592.0002441406,3593.0002441406,3591.0002441406,3591.0002441406,692.0,1378818.0,0.0,2020-01-17 10:43,1min
2020-01-17 10:44:00,RB2005,3592.0002441406,3592.0002441406,3591.0002441406,3591.0002441406,1002.0,1378822.0,0.0,2020-01-17 10:44,1min
2020-01-17 10:45:00,RB2005,3591.0002441406,3592.0002441406,3590.0002441406,3591.0002441406,1394.0,1379088.0,0.0,2020-01-17 10:45,1min
2020-01-17 10:46:00,RB2005,3591.0002441406,3592.0002441406,3591.0002441406,3591.0002441406,703.0,1379458.0,0.0,2020-01-17 10:46,1min
2020-01-17 10:47:00,RB2005,3591.0002441406,3593.0002441406,3591.0002441406,3592.0002441406,970.0,1379526.0,0.0,2020-01-17 10:47,1min
2020-01-17 10:48:00,RB2005,3591.0002441406,3592.0002441406,3586.0002441406,3586.0002441406,4222.0,1378452.0,0.0,2020-01-17 10:48,1min
2020-01-17 10:49:00,RB2005,3586.0002441406,3588.0002441406,3585.0002441406,3586.0002441406,4015.0,1377562.0,0.0,2020-01-17 10:49,1min
2020-01-17 10:50:00,RB2005,3586.0002441406,3588.0002441406,3585.0002441406,3588.0002441406,3620.0,1376680.0,0.0,2020-01-17 10:50,1min
2020-01-17 10:51:00,RB2005,3587.0002441406,3588.0002441406,3587.0002441406,3588.0002441406,658.0,1376847.0,0.0,2020-01-17 10:51,1min
2020-01-17 10:52:00,RB2005,3588.0002441406,3589.0002441406,3587.0002441406,3589.0002441406,1473.0,1376911.0,0.0,2020-01-17 10:52,1min
